title,description,label
Software Engineer,Develop web applications using Python,legit
Teacher,Teach students online through Zoom,legit
Graphic Designer,Create logos and branding materials,legit
Customer Support,Handle customer inquiries professionally,legit
Web Developer,Build responsive websites,legit
Accountant,Manage company financial records,legit
Office Assistant,Organize files and documents,legit
Marketing Executive,Promote products and services,legit
Data Analyst,Analyze business data and reports,legit
HR Officer,Recruit and manage employees,legit
Freelance Writer,Write articles for websites,legit
UI UX Designer,Design mobile app interfaces,legit
Receptionist,Manage office front desk,legit
Project Manager,Lead project teams and deadlines,legit
Network Engineer,Maintain company network systems,legit

Online Data Entry,Registration fee required before joining,suspicious
Part Time Work,Small joining fee needed,suspicious
Remote Job,Limited seats apply after payment,suspicious
Typing Job,Verification charges required,suspicious
Online Assistant,Processing fee required,suspicious
Home Based Work,Membership payment needed,suspicious
Virtual Assistant,Pay registration amount first,suspicious
Easy Job Opportunity,Advance fee required,suspicious
Work From Home,Application fee required,suspicious
Data Entry Operator,Training charges required,suspicious
Remote Staff,Security deposit needed,suspicious
Online Promotion,Enrollment fee required,suspicious
Freelance Project,Initial payment required,suspicious
Digital Marketing,Purchase starter package,suspicious
Survey Job,Pay before starting work,suspicious

Earn Money Fast,Guaranteed income daily,scam
Quick Cash Job,Get rich instantly,scam
Instant Earnings,No skills earn instantly,scam
Easy Income,Quick money with no effort,scam
Online Opportunity,Guaranteed income every day,scam
Work From Home,Earn thousands overnight,scam
Data Entry Job,Become rich quickly,scam
Part Time Income,Instant earnings guaranteed,scam
Remote Work,Unlimited income promise,scam
Online Business,Double your money fast,scam
Social Media Job,Guaranteed profit daily,scam
Typing Work,Make money instantly from home,scam
Digital Job,No work high income guaranteed,scam
Investment Job,Guaranteed returns every day,scam
Home Job,Become millionaire quickly,scam
